place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Avenal,Kings County,2,3,4,4,0,1,5,8,2,7,4,8,14.3,300,58.4
Corcoran,Kings County,1,1,4,2,5,4,10,9,8,8,11,8,0,700,35.9
Lemoore,Kings County,11,6,9,6,18,17,20,20,18,17,15,29,70.6,163.6,107.4
Hanford,Kings County,6,7,24,10,27,23,21,28,32,18,17,19,5.6,216.7,32.8
Kings Co. Sheriff's Department,Kings County,9,13,13,12,12,16,16,22,19,19,15,13,-31.6,44.4,41.3
