place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Chowchilla,Madera County,54,76,107,71,79,68,77,50,34,34,26,72,111.8,33.3,378.9
Madera,Madera County,227,275,331,426,322,335,382,235,264,223,202,202,-9.4,-11,305.1
Madera Co. Sheriff's Department,Madera County,185,277,320,315,340,289,383,398,402,408,175,570,39.7,208.1,802.2
