place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Avenal,Kings County,14,10,12,17,22,20,18,22,18,4,20,17,325,21.4,124.1
Corcoran,Kings County,35,42,36,46,19,79,74,60,78,50,111,53,6,51.4,237.7
Lemoore,Kings County,67,77,77,88,113,100,82,74,52,37,49,76,105.4,13.4,281.5
Hanford,Kings County,200,159,198,193,156,233,215,246,174,211,209,197,-6.6,-1.5,339.7
Kings Co. Sheriff's Department,Kings County,45,55,45,55,31,12,26,25,23,21,16,24,14.3,-46.7,76.2
