place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Chowchilla,Madera County,5,2,2,3,1,2,1,1,1,2,4,4,100,-20,21.1
Madera,Madera County,22,15,19,28,15,18,22,32,37,32,35,49,53.1,122.7,74
Madera Co. Sheriff's Department,Madera County,22,10,14,28,22,18,28,23,32,34,22,65,91.2,195.5,91.5
