place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Avenal,Kings County,63,92,54,63,53,58,86,62,43,26,32,30,15.4,-52.4,219
Corcoran,Kings County,119,106,83,103,105,107,114,101,88,65,82,65,0,-45.4,291.5
Lemoore,Kings County,114,130,127,112,110,160,111,93,69,71,61,60,-15.5,-47.4,222.2
Hanford,Kings County,252,286,337,345,259,275,222,197,145,131,155,166,26.7,-34.1,286.2
Kings Co. Sheriff's Department,Kings County,243,242,207,235,160,193,164,165,158,114,119,121,6.1,-50.2,384.3
