place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Chowchilla,Madera County,168,233,208,213,160,197,281,208,144,109,79,69,-36.7,-58.9,363.2
Madera,Madera County,552,528,622,1010,1007,1135,1262,967,898,824,691,573,-30.5,3.8,865.6
Madera Co. Sheriff's Department,Madera County,755,778,840,675,621,686,568,606,640,621,528,892,43.6,18.1,1255.4
