place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,inc_10to21,rate19,rate_prior3years
Porterville,Tulare County,1154,1222,1014,801,702,844,771,925,935,835,620,-46.8,1333.9,1101.8
Visalia,Tulare County,3497,3466,3778,3016,2456,2621,2561,2953,2701,2627,2049,-37.1,1857.9,1620.7
Exeter,Tulare County,142,180,191,158,199,197,150,152,193,188,175,21.8,1825.2,1735
Lindsay,Tulare County,191,180,182,161,122,146,151,149,129,119,122,-38.2,937,942.5
Tulare,Tulare County,1645,1365,1352,1333,1223,1299,1110,1008,1143,951,916,-53.2,1380.3,1275.8
Woodlake,Tulare County,144,90,127,79,66,87,67,86,69,61,54,-62.5,824.3,760.8
Farmersville,Tulare County,129,134,129,119,81,99,103,105,116,138,77,-20.9,1326.9,1016.3
Dinuba,Tulare County,402,366,424,446,553,536,453,385,427,405,304,-23.1,1646.3,1379.3
Tulare Co. Sheriff's Department,Tulare County,2124,2191,1848,1613,1191,1325,1318,1246,1349,1254,1260,-43.4,930.1,919
