place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Merced,Merced County,633,802,955,644,605,588,558,472,387,396,390,292,-26.3,-53.9,338.4
Atwater,Merced County,322,355,440,361,240,167,190,185,163,140,134,133,-5,-58.7,415.6
Dos Palos,Merced County,58,50,44,56,60,51,75,50,69,36,37,24,-33.3,-58.6,413.8
Los Banos,Merced County,323,397,340,257,207,307,253,217,244,231,280,315,36.4,-2.5,692.3
Livingston,Merced County,163,180,120,39,73,79,115,95,82,85,60,65,-23.5,-60.1,457.7
Gustine,Merced County,69,46,39,50,69,52,31,26,24,32,19,24,-25,-65.2,393.4
Merced Co. Sheriff's Department,Merced County,778,767,741,687,490,596,601,554,439,487,360,447,-8.2,-42.5,489.6
