place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Avenal,Kings County,2,1,1,0,0,2,3,1,1,0,1,0,NA,-100,0
Corcoran,Kings County,0,1,0,0,0,0,2,1,0,1,2,2,100,NA,9
Lemoore,Kings County,0,2,0,0,1,0,0,3,0,1,1,2,100,NA,7.4
Hanford,Kings County,0,2,2,2,1,1,2,2,2,0,5,4,NA,NA,6.9
Kings Co. Sheriff's Department,Kings County,1,2,1,4,5,2,4,2,2,2,2,2,0,100,6.4
