place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Chowchilla,Madera County,0,0,0,0,0,0,0,0,3,0,1,1,NA,NA,5.3
Madera,Madera County,8,1,2,7,6,3,3,4,6,2,4,1,-50,-87.5,1.5
Madera Co. Sheriff's Department,Madera County,2,4,0,6,3,1,4,3,3,1,4,3,200,50,4.2
