place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Merced,Merced County,1934,2044,2721,1608,1678,1608,1617,1706,1404,1439,1132,1645,14.3,-14.9,1906.1
Atwater,Merced County,700,773,773,804,684,757,670,649,561,708,570,699,-1.3,-0.1,2184.4
Dos Palos,Merced County,105,105,99,100,76,64,86,103,99,89,40,41,-53.9,-61,706.9
Los Banos,Merced County,637,676,776,696,606,805,733,695,659,506,494,760,50.2,19.3,1670.3
Livingston,Merced County,151,135,146,127,129,204,193,154,173,164,152,225,37.2,49,1584.5
Gustine,Merced County,85,81,65,55,69,70,67,43,56,54,57,67,24.1,-21.2,1098.4
Merced Co. Sheriff's Department,Merced County,1227,1538,1267,1116,1003,955,886,908,950,956,797,942,-1.5,-23.2,1031.7
