place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Chowchilla,Madera County,23,36,31,43,33,41,85,95,68,54,45,42,-22.2,82.6,221.1
Madera,Madera County,307,306,346,256,207,325,300,399,207,242,250,213,-12,-30.6,321.8
Madera Co. Sheriff's Department,Madera County,17,20,26,24,37,10,17,44,29,21,27,46,119,170.6,64.7
