place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Porterville,Tulare County,4,2,3,8,4,2,0,4,3,2,3,2,0,-50,3.2
Visalia,Tulare County,6,8,5,8,10,6,8,9,3,4,8,14,250,133.3,9.9
Exeter,Tulare County,0,1,0,1,0,0,0,1,0,0,1,1,NA,NA,9.7
Lindsay,Tulare County,0,1,0,0,1,1,0,2,1,0,1,0,NA,NA,0
Tulare,Tulare County,5,5,6,6,6,10,6,2,3,4,5,5,25,0,7.3
Woodlake,Tulare County,1,1,1,1,0,2,0,1,0,0,0,1,NA,0,13.5
Farmersville,Tulare County,3,1,1,0,2,0,0,0,3,0,2,1,NA,-66.7,9.6
Dinuba,Tulare County,1,0,0,0,1,1,0,1,0,1,0,2,100,100,8.1
Tulare Co. Sheriff's Department,Tulare County,15,20,17,18,12,23,19,13,13,9,9,16,77.8,6.7,11.9
