place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Merced,Merced County,7,8,9,5,13,11,1,8,1,5,7,13,160,85.7,15.1
Atwater,Merced County,4,0,2,1,0,3,1,0,2,1,4,3,200,-25,9.4
Dos Palos,Merced County,1,0,1,1,0,1,0,2,0,0,0,0,NA,-100,0
Los Banos,Merced County,2,3,1,1,1,1,1,2,1,2,9,2,0,0,4.4
Livingston,Merced County,0,0,2,2,0,1,0,0,0,0,1,0,NA,NA,0
Gustine,Merced County,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,0
Merced Co. Sheriff's Department,Merced County,12,2,8,17,15,10,2,7,5,4,3,9,125,-25,9.9
