place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Merced,Merced County,33,20,25,19,17,31,35,28,30,34,40,36,5.9,9.1,41.7
Atwater,Merced County,6,5,8,7,9,8,8,7,6,10,2,22,120,266.7,68.8
Dos Palos,Merced County,3,0,2,31,2,7,0,4,3,0,2,1,NA,-66.7,17.2
Los Banos,Merced County,4,7,0,3,3,4,11,6,7,12,16,18,50,350,39.6
Livingston,Merced County,4,5,3,1,2,6,5,2,1,1,1,3,200,-25,21.1
Gustine,Merced County,0,2,1,2,1,1,2,1,2,2,2,3,50,NA,49.2
Merced Co. Sheriff's Department,Merced County,22,22,15,15,9,20,18,16,25,19,19,15,-21.1,-31.8,16.4
