place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Porterville,Tulare County,249,196,198,233,159,226,264,272,306,249,173,217,-12.9,-12.9,346.6
Visalia,Tulare County,600,545,526,619,557,560,637,604,529,526,418,460,-12.5,-23.3,325.3
Exeter,Tulare County,26,24,26,19,19,34,36,32,37,25,35,34,36,30.8,330.1
Lindsay,Tulare County,60,36,55,50,36,71,91,66,55,83,71,34,-59,-43.3,267.7
Tulare,Tulare County,441,330,332,371,284,305,362,411,350,293,341,350,19.5,-20.6,508
Woodlake,Tulare County,16,21,24,16,22,15,9,16,13,13,11,9,-30.8,-43.8,121.6
Farmersville,Tulare County,24,34,33,35,38,22,35,35,26,28,36,26,-7.1,8.3,250
Dinuba,Tulare County,122,102,154,92,129,117,85,85,93,67,72,75,11.9,-38.5,304.9
Tulare Co. Sheriff's Department,Tulare County,0,0,0,0,0,0,0,3,0,2,21,33,1550,NA,24.5
