place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Porterville,Tulare County,148,161,124,134,106,131,147,175,139,136,166,242,77.9,63.5,386.6
Visalia,Tulare County,370,343,361,305,306,366,284,223,202,312,299,310,-0.6,-16.2,219.2
Exeter,Tulare County,14,33,24,12,42,18,27,13,11,16,23,17,6.2,21.4,165
Lindsay,Tulare County,64,59,36,27,34,40,64,30,25,51,27,14,-72.5,-78.1,110.2
Tulare,Tulare County,289,264,289,332,344,231,148,164,163,161,195,377,134.2,30.4,547.2
Woodlake,Tulare County,12,19,41,7,22,33,20,23,22,22,8,16,-27.3,33.3,216.2
Farmersville,Tulare County,57,32,28,31,45,21,27,26,33,30,29,40,33.3,-29.8,384.6
Dinuba,Tulare County,149,135,145,188,164,156,152,168,147,130,120,132,1.5,-11.4,536.6
Tulare Co. Sheriff's Department,Tulare County,383,398,491,495,338,267,241,246,259,231,241,251,8.7,-34.5,186.2
