place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Merced,Merced County,241,313,435,395,349,564,599,490,428,507,427,575,13.4,138.6,666.3
Atwater,Merced County,106,102,187,158,100,175,146,117,186,183,185,186,1.6,75.5,581.2
Dos Palos,Merced County,8,22,19,54,19,16,24,18,33,44,22,15,-65.9,87.5,258.6
Los Banos,Merced County,90,104,94,107,87,245,175,161,168,149,159,204,36.9,126.7,448.4
Livingston,Merced County,32,35,40,30,43,77,64,36,53,66,51,65,-1.5,103.1,457.7
Gustine,Merced County,21,21,16,20,23,20,15,16,15,30,28,16,-46.7,-23.8,262.3
Merced Co. Sheriff's Department,Merced County,21,14,28,30,43,54,54,42,45,72,200,170,136.1,709.5,186.2
