place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Chowchilla,Madera County,5,4,6,7,9,4,7,11,4,3,6,2,-33.3,-60,10.5
Madera,Madera County,100,115,114,107,72,94,98,107,92,77,69,29,-62.3,-71,43.8
Madera Co. Sheriff's Department,Madera County,24,20,19,18,18,26,19,27,16,14,30,24,71.4,0,33.8
