place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Porterville,Tulare County,11,5,10,8,10,12,16,10,15,7,25,28,300,154.5,44.7
Visalia,Tulare County,26,40,44,31,30,106,68,81,107,111,106,87,-21.6,234.6,61.5
Exeter,Tulare County,3,1,3,3,2,1,1,4,2,5,4,2,-60,-33.3,19.4
Lindsay,Tulare County,2,0,1,1,0,4,1,0,0,5,3,4,-20,100,31.5
Tulare,Tulare County,21,19,10,15,20,16,13,22,24,27,29,61,125.9,190.5,88.5
Woodlake,Tulare County,2,1,2,1,3,1,2,1,2,4,1,2,-50,0,27
Farmersville,Tulare County,1,0,1,1,0,1,0,2,1,0,2,0,NA,-100,0
Dinuba,Tulare County,2,0,4,6,4,5,6,7,9,5,7,16,220,700,65
Tulare Co. Sheriff's Department,Tulare County,32,31,40,20,22,29,28,35,40,30,29,34,13.3,6.2,25.2
