place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Porterville,Tulare County,59,58,63,44,38,41,52,58,52,47,42,25,-46.8,-57.6,39.9
Visalia,Tulare County,176,95,134,156,138,130,120,144,138,159,142,113,-28.9,-35.8,79.9
Exeter,Tulare County,5,10,1,4,3,7,3,6,3,5,4,2,-60,-60,19.4
Lindsay,Tulare County,3,10,12,12,6,14,7,13,8,13,8,3,-76.9,0,23.6
Tulare,Tulare County,75,55,71,77,87,46,57,66,61,69,71,58,-15.9,-22.7,84.2
Woodlake,Tulare County,3,3,4,1,5,3,3,2,1,2,3,3,50,0,40.5
Farmersville,Tulare County,7,4,4,15,5,10,3,6,8,5,3,2,-60,-71.4,19.2
Dinuba,Tulare County,25,21,32,20,18,13,21,18,28,25,18,14,-44,-44,56.9
Tulare Co. Sheriff's Department,Tulare County,91,68,90,108,74,64,62,68,60,64,65,45,-29.7,-50.5,33.4
