place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Avenal,Kings County,66,82,66,67,79,118,72,65,57,28,45,66,135.7,0,481.8
Corcoran,Kings County,135,207,209,215,168,212,216,222,214,157,199,146,-7,8.1,654.7
Lemoore,Kings County,508,496,494,408,437,440,308,267,264,264,253,343,29.9,-32.5,1270.4
Hanford,Kings County,707,1002,1176,1401,1442,1504,1059,916,945,900,755,545,-39.4,-22.9,939.7
Kings Co. Sheriff's Department,Kings County,306,386,263,303,236,265,236,283,281,297,242,257,-13.5,-16,816.2
