place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Merced,Merced County,141,149,215,133,143,151,134,158,116,103,133,109,5.8,-22.7,126.3
Atwater,Merced County,23,37,32,22,25,26,27,23,21,22,29,27,22.7,17.4,84.4
Dos Palos,Merced County,5,3,1,2,2,3,1,1,0,2,5,4,100,-20,69
Los Banos,Merced County,36,29,24,31,29,38,35,41,37,36,35,36,0,0,79.1
Livingston,Merced County,13,10,12,2,6,11,6,12,13,11,17,13,18.2,0,91.5
Gustine,Merced County,1,5,2,5,4,1,2,1,1,4,2,3,-25,200,49.2
Merced Co. Sheriff's Department,Merced County,49,41,45,36,32,30,33,38,44,24,30,36,50,-26.5,39.4
