place,county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Avenal,Kings County,8,8,5,6,7,4,3,5,1,3,4,5,66.7,-37.5,36.5
Corcoran,Kings County,4,13,5,10,5,13,7,10,11,12,12,5,-58.3,25,22.4
Lemoore,Kings County,18,12,18,28,18,19,10,21,20,14,12,13,-7.1,-27.8,48.1
Hanford,Kings County,43,48,59,63,31,58,44,54,41,40,45,35,-12.5,-18.6,60.3
Kings Co. Sheriff's Department,Kings County,12,15,19,16,11,9,16,13,12,19,18,21,10.5,75,66.7
